character,phrase,meaning,pinyin,wenzhouhua,shengmu,yunmu,verify
袋,,,,dtei,dt,ei,
怠,无空慢怠,,,dtei,dt,ei,
地,,,,dtei,dt,ei,
垫,,,,dti,dt,i,
钿,铜钿,,,dti,dt,i,
田,,,,dti,dt,i,
调,,,,dtie,dt,ie,
桶,,,,dtong,dt,ong,
铜钿,,,,dtongdti,,,
桶鼓,,,,dtonggu,,,
唐三,,,,dtosa,,,
头,,,,dtou,dt,ou,
惰,,,,dtou,dt,ou,
堕,堕爻罢,,,dtou,dt,ou,
舵,舵扳牢,,,dtou,dt,ou,
头,头个|我比你头|命头兮|人头起|头人,,,dtou,dt,ou,
蠹蟊,,,,dtoume,,,
头魍,,,,dtoumo,,,
堕爻罢,,,,dtouwobpa,,,
头先,,,,dtouxi,,,刚才
断,断种|断个|断条鱼|断分砝钿,,,dtue,dt,ue,
遁,,,,dtue,dt,ue,
潭,烂淤泥潭,,,dtue,dt,ue,
肚,,,,dtue,dt,ue,
臀,,,,dtue,dt,ue,
突蓦,,,,dtuevu,,,突然
唐,唐佬|唐范,,,dtuo,dt,uo,
堂,,,,dtuo,dt,uo,
掇,掇拈儿来,,,du,d,u,2
锻,锻价钱,,,due,d,ue,
驐,,,,due,d,ue,
湍,水湍湍来,,,due,d,ue,?
黩比,黩比好,,,duebpei,,,
妒嫉,,,,duedzi,,,
驐猪,,,,duezei,,,
都市,,,,duezi,,,
当,当面,,,duo,d,uo,
挡,挡牢,,,duo,d,uo,
当算,,,,duosue,,,
厨,吃一厨饭,,,dz,dz,,
沉,沉落,,,dzang,dz,ang,
阵,办阵|阵阿办勿出,,,dzang,dz,ang,
箸,,,,dzei,dz,ei,筷
箸笼,,,,dzeilong,,,
埕,一埕酒六十斤,,,dzeng,dz,eng,
剩,剩落|剩几厘,,,dzeng,dz,eng,
坠,,,,dzi,dz,i,
缒,后面人缒牢,,,dzi,dz,i,挂、拉
柱,,,,dzi,dz,i,
厨,,,,dzi,dz,i,
住,,,,dzi,dz,i,
迟,,,,dzi,dz,i,
持,,,,dzi,dz,i,
驰,,,,dzi,dz,i,
其,,,,dzi,dz,i,
诤,诤起论起|真会诤,,,dzie,dz,ie,
搽,粉搽起,,,dzu,dz,u,
茶,,,,dzu,dz,u,
搽扫,,,,dzuse,,,
岙,金岙,,ao,e,,e,
爊,爊起吃,,,e,,e,
咸,,,,ea,,ea,?
嫌,,,,ea,,ea,
闲,,,,ea,,ea,
闲伴,,,,eabpue,,,
黄昏,,,,eaxu,,,
嫌矜,,,,eazeng,,,
咳,,,,ei,,ei,
腌臢,腌臢骨|腌臢吃,,,eze,,,肮脏
番,番人,,,fa,f,a,
膰,肉膰兮膰,,,fa,f,a,
翻,,,,fa,f,a,
贩,贩卖,,,fa,f,a,
砝,,,,fa,f,a,
番鸭,,,,faa,,,
砝钿,,,,fadti,,,
弗,弗种|弗恁|千莫弗,,,fai,f,ai,
灰,,,,fai,f,ai,
弗咳,,,,faiei,,,
否,否是|否要紧|否孬|否冷,,,fu,f,u,
否样三四,,,,funisasi,,,
否要紧,,,,fuyejiang,,,
革,,,,ga,g,a,
间,,,,ga,g,a,
剐,剐剪|剐臀,,,ga,g,a,
