character,phrase,meaning,pinyin,wenzhouhua,shengmu,yunmu,verify
就,就恁|就你,,,yiu,y,iu,
喙,嘴喙,,,yong,y,ong,
吮,吮冰条,,,yong,y,ong,
允,,,,yong,y,ong,
赎,赎来,,,you,y,ou,3
袖,衫袖,,,you,y,ou,
就着,,,,youdgia,,,
媪,逑老媪,,,yu,y,u,
寒,金银花喝胃寒,,,yu,y,u,
绝,,,,yu,y,u,
媛,媛闺儿,,,yu,y,u,
愠,真愠心,,,yu,y,u,
温,,,,yu,y,u,
全,,,,yu,y,u,
王,,,,yuo,y,uo,
愠心,,,,yusang,,,
全死,,,,yusi,,,
媛闺儿,,,,yuzing,,,
柱,,,,z,z,i,
柴,烧柴|柴筋筋,,,za,z,a,
燀,燀肉吃,,,za,z,a,
馋,馋嘴,,,za,z,a,
姐,,,,za,z,a,
扎,衫袖扎起紧|拦扎下,,,za,z,a,
沾,水沾满|水沾起,,,za,z,a,
蘸,蘸一蘸|蘸醋吃,,,za,z,a,
扎,,,,za,z,a,
柴爿,,,,zabpa,,,
执,死执|执牢|执兮执,,,zai,z,ai,固执
絷,打个絷,,,zai,z,ai,打结
慹,慹慹恁|否慹你,,,zai,z,ai,怕
惴,惴一惴|心地惴爻罢|惴惴恁,,,zai,z,ai,
浸,浸水里,,,zang,z,ang,
砧,,,,zang,z,ang,
真,,,,zang,,,
真弗,,,,zangfai,,,
挫,背挫拢,,,zao,z,ao,
走,走归|走外圈,,,zao,z,ao,
走归,,,,zaogai,,,
走外圈,,,,zaovaju,,,
曹,人曹起,,,ze,z,e,
躁,躁起,,,ze,z,e,
糟,糟爻否少,,,ze,z,e,
造,,,,ze,z,e,
积,,,,zei,z,ei,
则,则则起|则勿牢|则一则,,,zei,z,ei,掂量
豕,,,,zei,z,ei,猪
煮,煮饭,,,zei,z,ei,
纸,,,,zei,z,ei,
猪,,,,zei,z,ei,
贼,,,,zei,z,ei,
猪栏,,,,zeila,,,
精,,,,zeng,z,eng,
矜,,,,zeng,z,eng,
闺,媛闺儿,,,zi,z,i,
柱,,,,zi,z,i,
记,,,,zi,z,i,
寄,,,,zi,z,i,
止,月底过止,,,zi,z,i,
记,,,,zi,z,i,
姊,姊妹,,,zi,,,
争,,,,zie,z,ie,
记觉,,,,zigu,,,
姊妹,,,,zimai,,,
怎奈,,,,zina,,,
怎哪讲,,,,zinaguo,,,
怎哪恁,,,,zinanang,,,
嘴喙,,,,ziyong,,,嘴唇
总,,,,zong,z,ong,
攥,箸攥双来,,,zu,z,u,拿
